Country,Year,Air_pollution_level,CO2_Emissions,CO2_Emissions%,recycling_rate
Spain,2019,46.41,257.72585046515,8.72,38.0
Spain,2020,42.48,218.74421833382,8.14,38.9
Spain,2021,42.51,237.58687590453,8.24,42.2
Spain,2022,45.25,235.47115122154,8.4,38.6
Sweden,2013,33.04,43.966151552667,1.37,48.2
Sweden,2014,36.25,42.776473476285,1.39,49.3
Sweden,2015,29.69,42.898323259441,1.37,47.6
Sweden,2016,27.87,42.629870520558,1.36,48.4
Sweden,2017,26.88,41.879648436552,1.32,46.8
Sweden,2018,30.79,39.428295326808,1.27,45.8
Sweden,2019,29.81,39.139797532763,1.32,46.6
Sweden,2020,24.71,37.793958693261,1.41,38.3
Sweden,2021,23.5,39.880774016364,1.38,39.5
Sweden,2022,21.65,36.208576415145,1.29,39.7
